Class,Prob
CS-275B,0.4857209966775836
CS-254B,0.6299723465938362
CS-372,0.3804148444191643
CS-349D,0.5047485998085876
CS-155,0.5444654185988739
CS-336,0.35751080738876506
CS-254,0.6805716821685921
CS-343D,0.702913478537632
CS-348C,0.59574050943331
CS-278,0.6353950454098893
CS-325B,0.5925947416289963
CS-261,0.4308956057175852
CS-247A,0.5268311344005067
CS-522,0.3887346353073274
CS-448B,0.3801379803793727
CS-269I,0.5484143481462476
CS-328,0.4712825477033426
CS-240,0.4358341692722368
CS-377G,0.5164732935278877
CS-243,0.366325327804928
CS-356,0.6125970123395059
CS-129,0.4536190221695836
CS-327A,0.4262941205039554
CS-240LX,0.562932810830091
CS-103,0.4695316730486673
CS-247S,0.5907704393047111
CS-248B,0.4733136546910251
CS-528,0.41494734002756445
CS-106S,0.49422628748860725
CS-263,0.607352498823388
CS-124,0.5419297356446509
CS-347,0.5650514517825791
CS-131,0.3536625559583878
CS-257,0.47034032231184364
CS-106M,0.4358989855523801
CS-22A,0.5107878918453179
CS-47,0.510787629135218
CS-228,0.46863242642238845
CS-194H,0.423936570743588
CS-229,0.4379571631172589
CS-7,0.6024514732886844
CS-231A,0.43683030913630855
CS-210B,0.567180960762697
CS-300,0.43544857054201763
CS-173A,0.4040769442022484
CS-348K,0.6338501182719843
CS-106A,0.5984350054081318
CS-529,0.4904520585182935
CS-206,0.33997577261739476
CS-255,0.5763948732716272
CS-498C,0.5910945890380963
CS-153,0.41706127116314856
CS-177,0.3903869682481782
CS-152,0.5407475584704117
CS-148,0.495080335648768
CS-422,0.5434258246916288
CS-143,0.5226490030555594
CS-224S,0.36075668655944015
CS-197,0.5315162369403398
CS-194,0.4612426132095155
CS-281,0.5485317538184186
CS-29N,0.7269350493108501
CS-197C,0.3762374991568084
CS-273C,0.6131031296332957
CS-83N,0.5361062159473552
CS-259Q,0.575973816849365
CS-198B,0.6723072613489238
CS-237A,0.3640039483760838
CS-224V,0.45997454705549845
CS-275A,0.6645753911981848
CS-279,0.4344619490320204
CS-212,0.41385444267252874
CS-225A,0.3789944525428283
CS-235,0.431515918720672
CS-205L,0.5067016764199596
CS-147,0.4114411034933318
CS-476A,0.6216188895973641
CS-349H,0.5307749209817021
CS-432,0.4008511990923952
CS-190,0.729192794050677
CS-107E,0.6615512341647106
CS-355,0.5737350125521024
CS-227B,0.3516959835952506
CS-377Q,0.5359248386470179
CS-224C,0.5644290386871237
CS-224W,0.5314570899782558
CS-329T,0.377088661085306
CS-106E,0.46200964086264423
CS-361,0.5575250628474111
CS-256,0.5063555911178409
CS-295,0.5513811219211605
CS-247G,0.46226383837504353
CS-221,0.45428166289671196
CS-161,0.6024498703405718
CS-248A,0.5414690035655487
CS-151,0.3652917627330555
CS-498D,0.5548431827449658
CS-309A,0.5430789716207894
CS-52,0.43463240911143425
CS-210A,0.5315647511943258
CS-49N,0.3684714150188482
CS-224N,0.4950610348091015
CS-273B,0.3381915183981358
CS-298,0.7242018022817942
CS-233,0.443780077045378
CS-348I,0.49263445168589254
CS-366,0.5905389563885525
CS-270,0.42825334833768275
CS-224R,0.4314736526024992
CS-275,0.36323355944312663
CS-242,0.5472425592360236
CS-154,0.40533970684975157
CS-375,0.33989507363754284
CS-369O,0.6183401290365812
CS-272,0.6032912082881869
CS-239,0.5672675272820414
CS-112,0.4239950938254978
CS-326,0.4732418869952146
CS-237B,0.44509874741904026
CS-168,0.4776064897719829
CS-244B,0.3758621136449042
CS-24,0.4827482821475632
CS-157,0.43541826400664463
CS-470,0.5619170975283063
CS-44N,0.4147612987151655
CS-230,0.47805653836868583
CS-265,0.5933235200475107
CS-229M,0.4480912645680917
CS-109,0.6217070629647014
CS-145,0.37458127250286233
CS-377U,0.4688022326821707
CS-181W,0.4502086877436813
CS-251,0.5889281220267569
CS-246,0.4050306399504137
CS-106AX,0.6522039143313725
CS-339R,0.3602598600759748
CS-108,0.43461109646298474
CS-238,0.5686632041741132
CS-223A,0.40122126888594234
CS-111,0.6665937865251678
CS-241,0.39194816995979204
CS-181,0.48860586775812287
CS-144,0.5483023848901718
CS-448I,0.5533949806323802
CS-330,0.5448152951645734
CS-247B,0.4263926128067834
CS-140E,0.42745549770010777
CS-329M,0.6106445369564212
CS-149,0.6032137337815031
CS-547,0.49546411027502246
CS-249I,0.6604518548206022
CS-342,0.5070026449719981
CS-106L,0.5694447114336824
CS-31N,0.563541875507387
CS-331,0.7293303779063794
CS-106B,0.5775159952172353
CS-202,0.5807505126103975
CS-236,0.47873217821789715
CS-198,0.5960476870487817
CS-105,0.39375738485034534
CS-170,0.49040807699577615
CS-194W,0.38502779906283946
CS-274,0.5048496253049737
CS-193Q,0.40712185138452417
CS-337,0.3244143613993933
CS-107,0.6059444854403347
CS-244,0.3758621136449042